id	Date	Type	Iteration	Office	Office Scope	Role	Role Scope	State	Territory	City	County	District	 Town	Township	Ward	Parish	Populated Place	Hundred	Borough	Name	Name ID	Affiliation	Affiliation ID	Vote
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine												Albion K. Parris	PA0033	null	null	18550
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine												scattering	null	null	null	850
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine												Joshua Wingate, Jr.	WJ0015	null	null	
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland									Albion K. Parris	PA0033	null	null	2721
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland									Albion K. Parris	PA0033	null	null	167
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Baldwin							Albion K. Parris	PA0033	null	null	40
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Baldwin							scattering	null	null	null	
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Bridgton							Albion K. Parris	PA0033	null	null	79
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Bridgton							scattering	null	null	null	7
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Brunswick							Albion K. Parris	PA0033	null	null	143
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Brunswick							scattering	null	null	null	6
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Cumberland							Albion K. Parris	PA0033	null	null	72
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Cumberland							scattering	null	null	null	26
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Cape Elizabeth							Albion K. Parris	PA0033	null	null	76
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Cape Elizabeth							scattering	null	null	null	
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Danville							Albion K. Parris	PA0033	null	null	67
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Danville							scattering	null	null	null	1
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Durham							Albion K. Parris	PA0033	null	null	97
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Durham							scattering	null	null	null	1
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Falmouth							Albion K. Parris	PA0033	null	null	97
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Falmouth							scattering	null	null	null	
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Freeport							Albion K. Parris	PA0033	null	null	68
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Freeport							scattering	null	null	null	5
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Gorham							Albion K. Parris	PA0033	null	null	108
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Gorham							scattering	null	null	null	2
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Gray							Albion K. Parris	PA0033	null	null	92
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Gray							scattering	null	null	null	8
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Harrison							Albion K. Parris	PA0033	null	null	54
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Harrison							scattering	null	null	null	1
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Harpswell							Albion K. Parris	PA0033	null	null	46
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Harpswell							scattering	null	null	null	
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Minot							Albion K. Parris	PA0033	null	null	167
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Minot							scattering	null	null	null	1
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		New Gloucester							Albion K. Parris	PA0033	null	null	176
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		New Gloucester							scattering	null	null	null	16
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		North Yarmouth							Albion K. Parris	PA0033	null	null	142
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		North Yarmouth							scattering	null	null	null	1
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Otisfield							Albion K. Parris	PA0033	null	null	56
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Otisfield							scattering	null	null	null	
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Portland							Albion K. Parris	PA0033	null	null	391
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Portland							scattering	null	null	null	72
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Poland							Albion K. Parris	PA0033	null	null	183
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Poland							scattering	null	null	null	
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Pownal							Albion K. Parris	PA0033	null	null	56
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Pownal							scattering	null	null	null	
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Raymond							Albion K. Parris	PA0033	null	null	73
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Raymond							scattering	null	null	null	
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Scarborough							Albion K. Parris	PA0033	null	null	132
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Scarborough							scattering	null	null	null	
me.governor.1823	1823	General	First Ballot	Governor	State	Governor	State	Maine			Cumberland		Standish							Albion K. Parris	PA0033	null	null	92
